0 3 106
0 4 31
0 4 110
0 8 9
0 8 84
0 11 27
0 12 22
0 14 90
0 22 118
0 23 48
0 25 98
0 25 56
0 25 44
0 26 90
0 26 48
0 30 48
0 37 64
0 38 65
0 40 78
0 42 109
0 47 107
0 47 102
0 47 65
0 48 75
0 50 66
0 50 102
0 60 76
0 64 76
0 65 72
0 65 66
0 70 102
0 76 90
0 78 113
0 89 110
0 90 108
0 108 111
0 116 121
300 8 84
300 8 77
300 11 27
300 23 48
300 25 56
300 25 98
300 26 48
300 30 48
300 38 65
300 40 78
300 42 109
300 47 65
300 47 107
300 47 102
300 47 78
300 48 75
300 60 76
300 64 76
300 65 66
300 65 72
300 70 77
300 71 78
300 76 77
300 77 102
300 78 113
300 107 109
300 109 111
300 116 121
600 3 106
600 11 27
600 12 22
600 24 102
600 25 56
600 25 98
600 26 48
600 30 48
600 38 65
600 40 78
600 42 109
600 44 117
600 47 107
600 48 75
600 60 76
600 64 76
600 72 119
600 83 101
600 95 102
600 109 111
600 116 121
900 3 106
900 9 100
900 10 117
900 11 27
900 12 22
900 16 117
900 24 102
900 25 56
900 25 98
900 26 110
900 40 78
900 44 117
900 48 75
900 55 117
900 60 76
900 65 66
900 65 72
900 83 101
900 95 102
900 109 111
900 116 121
1200 3 106
1200 8 84
1200 10 117
1200 11 27
1200 12 22
1200 16 117
1200 24 102
1200 25 117
1200 26 52
1200 47 117
1200 48 75
1200 55 117
1200 60 76
1200 64 76
1200 65 72
1200 65 66
1200 83 101
1200 95 102
1200 109 111
1200 116 121
1500 3 106
1500 4 57
1500 8 84
1500 10 117
1500 11 27
1500 19 63
1500 24 102
1500 26 52
1500 44 117
1500 47 117
1500 51 91
1500 60 76
1500 63 81
1500 64 76
1500 65 72
1500 65 66
1500 69 112
1500 83 101
1500 109 111
1800 4 57
1800 5 63
1800 8 84
1800 10 117
1800 11 27
1800 18 52
1800 19 77
1800 24 102
1800 26 52
1800 33 63
1800 36 96
1800 51 91
1800 60 76
1800 63 81
1800 64 76
1800 65 66
1800 69 112
1800 116 121
2100 3 106
2100 4 57
2100 9 94
2100 10 117
2100 11 27
2100 18 52
2100 18 92
2100 19 123
2100 24 102
2100 26 52
2100 36 96
2100 51 91
2100 60 76
2100 63 81
2100 64 76
2100 65 66
2400 3 106
2400 10 117
2400 11 27
2400 11 52
2400 15 84
2400 15 71
2400 18 52
2400 24 102
2400 26 52
2400 36 96
2400 51 91
2400 60 76
2400 65 66
2400 81 123
2400 82 114
2700 3 106
2700 4 57
2700 6 116
2700 9 94
2700 15 84
2700 15 56
2700 15 122
2700 18 103
2700 24 102
2700 26 52
2700 36 96
2700 65 66
3000 3 106
3000 4 57
3000 9 94
3000 10 117
3000 15 84
3000 17 103
3000 18 103
3000 24 102
3000 28 63
3000 28 103
3000 36 96
3000 38 41
3000 83 103
3300 3 106
3300 4 57
3300 7 111
3300 10 117
3300 15 84
3300 18 103
3300 24 102
3300 28 103
3300 28 48
3300 35 83
3300 36 96
3300 62 85
3300 70 103
3300 83 103
3300 83 96
3600 3 106
3600 4 57
3600 7 111
3600 9 94
3600 10 117
3600 18 103
3600 24 102
3600 36 96
3600 49 104
3600 61 67
3600 62 85
3600 63 80
3600 70 103
3900 1 66
3900 3 106
3900 4 57
3900 7 111
3900 9 94
3900 9 104
3900 21 70
3900 24 102
3900 32 116
3900 36 96
3900 49 104
3900 61 67
3900 61 104
3900 62 85
3900 70 103
3900 72 123
4200 1 66
4200 3 106
4200 7 111
4200 7 112
4200 9 104
4200 10 117
4200 18 103
4200 24 102
4200 49 104
4200 61 104
4200 62 85
4200 63 80
4200 70 103
4200 72 123
4200 75 96
4500 1 66
4500 3 106
4500 4 57
4500 7 111
4500 9 104
4500 9 94
4500 10 117
4500 18 103
4500 51 88
4500 61 67
4500 62 85
4500 63 80
4500 70 103
4500 72 123
4800 1 66
4800 3 106
4800 7 111
4800 9 94
4800 18 103
4800 24 102
4800 37 54
4800 37 104
4800 61 67
4800 61 104
4800 62 85
4800 70 103
4800 75 96
5100 1 66
5100 3 106
5100 4 57
5100 7 111
5100 9 94
5100 18 103
5100 18 76
5100 24 102
5100 37 54
5100 49 116
5100 51 88
5100 61 104
5100 63 80
5100 70 103
5100 75 96
5400 1 66
5400 3 106
5400 3 94
5400 4 57
5400 9 94
5400 37 54
5400 51 88
5400 61 104
5400 62 85
5400 63 80
5400 70 103
5400 75 96
5700 1 66
5700 4 57
